,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율,일일변동평균,샤프지수,종목명,PER,PBR,시가총액
270,032640,(주)엘지유플러스,-0.9907648700848276,-3.204588656057323,0.4329751122997319,116.13,132.59,0.0681783179149989,8.153556862243887,LG유플러스,12.19,0.76,5348489.0
271,037560,(주)엘지헬로비전,-1.2064329373108789,-0.0,0.3608295008810209,88.79,132.0,0.2126971965320116,28.52221411982926,LG헬로비전,0.0,0.4,381039.0
272,051910,(주)엘지화학,-0.0695510041036975,-5.141122796846704,2.7281234547234234,100.53,52.39,0.444568403721341,55.15646061656028,LG화학,197.06,3.71,56826836.0
273,123040,(주)엠에스오토텍,-0.8440339782689666,-0.5355508311119361,1.072489222121078,22.39,185.99,0.3599254240473817,20.313059590708534,엠에스오토텍,13.03,1.48,249689.0
274,259630,(주)엠플러스,0.1233458712556761,-1.3139589060439751,0.4410607445824436,166.95,139.97,0.3143256176302548,21.17651575970148,엠플러스,68.18,3.31,153933.0
275,115960,(주)연우,0.1145674630914185,-2.829127094474432,1.3626782050232416,260.09,27.18,0.2096928930725766,23.42318860693798,연우,19.93,1.6,334746.0
276,143540,(주)영우디에스피,0.1359635468047532,-0.0,0.6626354052518905,140.99,111.68,0.2692574980194744,25.40660183965102,영우디에스피,0.0,3.77,96408.0
277,111770,(주)영원무역,-0.0137577152657887,0.7007129096179249,1.5539228689996794,136.06,42.55,0.2796750500146037,28.24891443150372,영원무역,10.55,0.96,1772459.0
278,009970,(주)영원무역홀딩스,0.0718588939079064,0.203400754653661,24.36099380054705,501.98,8.08,0.128191283364389,16.33468820779752,영원무역홀딩스,4.16,0.43,590421.0
279,000670,(주)영풍,0.2177180594550729,0.3359051300660747,0.8692175726280548,314.6,26.78,0.0981833356762052,13.684186216081176,영풍,4.3,0.33,1072067.0
280,012160,(주)영흥,-0.3728971280516732,0.9788882707536064,0.5295387514284466,103.82,114.11,0.1988589031651187,13.908824011863834,영흥,57.5,0.59,109612.0
281,015360,(주)예스코홀딩스,0.2830118694362017,-0.5735646152059461,11.2308375916463,749.28,36.67,0.0646484403713327,10.597082239636103,예스코홀딩스,7.31,0.37,202200.0
282,122640,(주)예스티,-0.1687038330694731,-0.0,3.1988746670298127,80.5,143.63,0.4057032877185818,32.8799959578377,예스티,0.0,3.7,241921.0
283,007310,(주)오뚜기,-0.020372856576351,-1.9048934306971097,0.8914511700786233,132.01,46.29,0.0857955409261429,12.513916580657694,오뚜기,19.2,1.61,2093029.0
284,001800,(주)오리온홀딩스,-0.0428342427497796,-0.5128410729011684,34.26625176110726,24.47,2.3,0.0829414379739275,12.375029212594432,오리온홀딩스,17.72,0.46,892697.0
285,226400,(주)오스테오닉,0.0529290909079097,-1.967954307976735,2.6418979193155585,207.89,160.82,0.4303723437398519,22.75995841851568,오스테오닉,98.5,1.72,60005.0
286,138080,(주)오이솔루션,0.163567391714914,0.1347634806495806,4.772892131162172,284.64,32.25,0.1514668437778697,8.298650780348352,오이솔루션,9.75,3.53,492427.0
