,종목코드,시장구분
1029,041520,KOSDAQ
1030,264850,KOSDAQ
1031,054210,KOSDAQ
1032,164060,KOSDAQ
1033,065440,KOSDAQ
1034,115610,KOSDAQ
1035,349720,KOSDAQ
1036,323210,KOSDAQ
1037,078020,KOSDAQ
1038,131400,KOSDAQ
1039,351330,KOSDAQ
1040,080010,KOSDAQ
1041,086890,KOSDAQ
1042,047560,KOSDAQ
1043,900110,KOSDAQ
1044,067010,KOSDAQ
1045,101360,KOSDAQ
1046,102710,KOSDAQ
1047,066980,KOSDAQ
1048,063760,KOSDAQ
1049,123570,KOSDAQ
1050,083470,KOSDAQ
1051,095190,KOSDAQ
1052,091120,KOSDAQ
1053,039030,KOSDAQ
1054,294090,KOSDAQ
1055,088290,KOSDAQ
1056,181340,KOSDAQ
1057,353810,KOSDAQ
1058,099750,KOSDAQ
1059,035810,KOSDAQ
1060,160600,KOSDAQ
1061,092130,KOSDAQ
1062,096040,KOSDAQ
1063,134060,KOSDAQ
1064,001840,KOSDAQ
1065,024810,KOSDAQ
