회사명,거래소코드,회계년도,종가
네온테크,306620,2021/03/31,4120
네이블커뮤니케이션즈,153460,2021/03/31,6200
네이처셀,007390,2021/03/31,9970
네패스,033640,2021/03/31,37750
네패스아크,330860,2021/03/31,44150
넥센보통주,005720,2021/03/31,4705
넥센타이어보통주,002350,2021/03/31,7600
넥스턴바이오사이언스,089140,2021/03/31,17450
넥스트아이,137940,2021/03/31,1335
넥스트엔터테인먼트월드,160550,2021/03/31,13200
넥스틴,348210,2021/03/31,74300
넥슨게임즈,225570,2021/03/31,13250
넥슨지티,041140,2021/03/31,13700
넵튠,217270,2021/03/31,26800
넷마블보통주,251270,2021/03/31,129000
노랑풍선,104620,2021/03/31,24300
노루페인트 보통주,090350,2021/03/31,11000
노루홀딩스보통주,000320,2021/03/31,12850
노바렉스,194700,2021/03/31,40500
노바텍,285490,2021/03/31,38800
노블엠앤비,106520,2021/03/31,539
노터스,278650,2021/03/31,25950
녹십자보통주,006280,2021/03/31,360500
녹십자셀,031390,2021/03/31,41700
녹십자엠에스,142280,2021/03/31,9940
녹십자웰빙,234690,2021/03/31,12550
녹십자홀딩스보통주,005250,2021/03/31,34850
녹원씨엔아이,065560,2021/03/31,5770
농심보통주,004370,2021/03/31,283500
농심홀딩스보통주,072710,2021/03/31,75900
농업회사법인 아시아종묘,154030,2021/03/31,6190
농업회사법인농우바이오,054050,2021/03/31,12550
누리플랜,069140,2021/03/31,7360
누리플렉스,040160,2021/03/31,7120
누보,332290,2021/03/31,2100
뉴로스,126870,2021/03/31,2230
뉴보텍,060260,2021/03/31,1490
뉴인텍,012340,2021/03/31,3755
뉴지랩파마,214870,2021/03/31,10700
뉴트리,270870,2021/03/31,29350
뉴파워프라즈마,144960,2021/03/31,6290
뉴프렉스,085670,2021/03/31,1830
다나와,119860,2021/03/31,33400
다날,064260,2021/03/31,8500
다믈멀티미디어,093640,2021/03/31,3040
다보링크,340360,2021/03/31,3545
다산네트웍스,039560,2021/03/31,10350
다스코보통주,058730,2021/03/31,5120
다올투자증권보통주,030210,2021/03/31,4815
다우기술보통주,023590,2021/03/31,27050
다우데이타,032190,2021/03/31,12800
다원시스,068240,2021/03/31,18200
다이나믹디자인보통주,145210,2021/03/31,660
대교보통주,019680,2021/03/31,4295
대구백화점보통주,006370,2021/03/31,10200
대덕보통주,008060,2021/03/31,6890
대덕전자보통주,353200,2021/03/31,14000
대동금속,020400,2021/03/31,9660
대동기어,008830,2021/03/31,4090
대동보통주,000490,2021/03/31,10050
대동스틸,048470,2021/03/31,5580
대동전자보통주,008110,2021/03/31,5890
대륙제관,004780,2021/03/31,5880
대림B&Co보통주,005750,2021/03/31,6500
대림제지,017650,2021/03/31,13600
대림통상보통주,006570,2021/03/31,4070
대명소노시즌,007720,2021/03/31,1455
대모엔지니어링,317850,2021/03/31,5130
대보마그네틱,290670,2021/03/31,32100
대봉엘에스,078140,2021/03/31,10100
대상보통주,001680,2021/03/31,25150
대상홀딩스 보통주,084690,2021/03/31,10800
대성미생물연구소,036480,2021/03/31,19250
대성산업보통주,128820,2021/03/31,4410
대성에너지보통주,117580,2021/03/31,5390
대성엘텍,025440,2021/03/31,1320
대성창업투자,027830,2021/03/31,3890
대성파인텍,104040,2021/03/31,2755
대성홀딩스보통주,016710,2021/03/31,29050
대신정보통신,020180,2021/03/31,1960
대신증권보통주,003540,2021/03/31,16250
대아티아이,045390,2021/03/31,5180
대양금속보통주,009190,2021/03/31,4055
대양전기공업,108380,2021/03/31,16850
대양제지공업,006580,2021/03/31,3260
대영포장보통주,014160,2021/03/31,2950
대우건설보통주,047040,2021/03/31,6610
