,종목코드,PER,PBR,EPS,BPS,DIV,DPS
497,031430,19.54,2.42,10361,83650,0.54,1100
498,031440,66.28,0.92,1124,81369,1.01,750
499,006880,0.0,0.67,0,7609,1.57,80
500,005800,23.05,0.28,4238,343727,1.54,1500
501,001720,24.57,0.82,2324,69280,4.38,2500
502,001725,0.0,0.0,0,0,4.56,2550
503,009270,78.42,0.63,19,2373,0.0,0
504,009275,0.0,0.0,0,0,0.0,0
505,002700,36.15,2.25,61,978,0.91,20
506,019170,2431.43,22.5,35,3782,0.0,0
507,019175,0.0,0.0,0,0,0.0,0
508,002870,5.66,2.02,709,1981,1.5,60
509,055550,5.35,0.47,7000,79682,4.94,1850
510,001770,29.7,0.84,793,28118,0.42,100
511,004080,56.07,1.31,214,9162,1.67,200
512,102280,0.0,0.57,0,1083,0.0,0
513,003410,29.65,2.15,259,3566,0.55,42
514,003620,0.0,1.03,0,2690,0.0,0
515,004770,172.5,2.16,20,1598,0.0,0
516,015540,0.0,18.53,0,346,0.0,0
517,004920,0.0,0.59,0,1692,0.0,0
518,112610,77.51,8.1,978,9360,0.61,460
519,008700,259.58,4.16,12,748,0.0,0
520,002790,44.94,1.85,1444,35078,0.46,300
521,00279K,0.0,0.0,0,0,2.06,834
522,002795,0.0,0.0,0,0,1.39,305
523,090430,74.35,3.97,3477,65050,0.39,1000
524,090435,0.0,0.0,0,0,1.2,1005
525,002030,4.77,0.34,25353,354657,1.45,1750
526,183190,16.27,0.57,7159,204892,1.29,1500
527,002310,7.12,0.75,6860,65302,1.23,600
528,267850,0.0,1.7,0,12737,2.31,500
529,020560,0.0,1.42,0,10673,0.0,0
530,122900,18.78,0.89,483,10185,6.62,600
531,010780,26.48,1.59,2141,35551,1.23,700
532,001780,0.0,1.67,0,2755,0.0,0
533,018250,15.69,1.93,1581,12817,1.81,450
534,161000,12.01,1.02,966,11336,3.02,350
535,011090,0.0,2.5,0,903,0.0,0
536,005850,11.27,0.79,1979,28224,1.79,400
537,012750,18.84,2.34,4337,34937,3.06,2500
538,023960,0.0,4.6,0,994,0.0,0
539,298690,0.0,2.01,0,1862,0.0,0
540,078520,0.0,0.81,0,9140,0.0,0
541,015260,0.0,0.31,0,4707,0.0,0
542,007460,24.19,1.05,86,1973,0.0,0
543,003060,0.0,1.21,0,968,0.0,0
544,244920,14.26,3.85,610,2262,0.17,15
545,036570,50.21,7.67,17387,113836,0.6,5220
546,138250,0.0,0.93,0,12609,1.28,150
547,085310,0.0,1.24,0,1121,0.0,0
548,009810,0.0,0.78,0,802,0.0,0
549,014440,15.89,0.57,263,7274,2.39,100
550,111770,10.55,0.96,3791,41602,1.0,400
551,009970,4.16,0.43,10421,100896,2.31,1000
552,003520,219.29,9.7,28,633,0.0,0
553,000670,4.3,0.33,135469,1767872,1.72,10000
554,006740,13.62,1.31,516,5383,0.57,40
555,012280,317.5,1.22,6,1556,0.0,0
556,012160,57.5,0.59,20,1937,2.61,30
557,015360,7.31,0.37,4611,91813,5.19,1750
558,007310,19.2,1.61,29693,354385,1.32,7500
559,002630,0.0,3.1,0,510,0.0,0
560,271560,24.02,3.19,5454,41042,0.46,600
561,001800,17.72,0.46,804,30747,4.56,650
562,070960,0.0,0.58,0,8222,0.0,0
563,316140,3.7,0.34,2727,29782,6.93,700
564,033660,6.08,0.77,1784,14145,5.99,650
565,004720,343.85,1.86,26,4801,0.0,0
